HGNC	entrez_id
AAGAB	79719
ABCA7	10347
ADAM9	8754
ADAMTS17	170691
ADAMTS2	9509
ADAMTSL4	54507
ADCY10	55811
ADGRG2	10149
ADNP	23394
AEBP1	165
AGK	55750
AGL	178
AGTR1	185
AHDC1	27245
ALMS1	7840
ALPK3	57538
AMER1	139285
AMMECR1	9949
ANK1	286
ANKRD11	29123
AP1S2	8905
AP3B2	8120
AP4B1	10717
AP4S1	11154
APC	324
ARCN1	372
ARFGEF2	10564
ARHGAP29	9411
ARID1B	57492
ARID2	196528
ARMC2	84071
ARMC4	55130	from ODAD2
ARPC1B	10095
ARV1	64801
ASCC1	51008
ASPM	259266
ASXL1	171023
ASXL2	55252
ASXL3	80816
ATM	472
AUTS2	26053
AXIN2	8313
BAP1	8314
BARD1	580
BCL10	8915
BCOR	54880
BLM	641
BMP2	650
BRCA1	672
BRCA2	675
BRIP1	83990
C12orf4	57102
C12orf65	91574
C6	729
C8B	732
C9	735
CABP4	57010
CAV1	857
CAVIN1	284119
CCDC39	339829
CCDC40	55036
CCM2	83605
CCNO	10309
CD3E	916
CD55	1604
CDSN	1041
CEBPA	1050
CENPF	1063
CENPJ	55835
CEP104	9731
CEP135	9662
CEP250	11190
CEP290	80184
CEP55	55165
CEP57	9702
CFAP251	144406
CFAP300	85016
CHAMP1	283489
CHEK2	11200
CHM	1121
CIB1	10519
CIC	23152
CIITA	4261
CKAP2L	150468
CNGB1	1258
CNTNAP2	26047
COG8	84342
COL13A1	1305
COL17A1	1308
COL18A1	80781
COL27A1	85301
COL9A1	1297
CR2	1380
CSF2RA	1438
CSPP1	79848
CWC27	10283
CWF19L1	55280
CXCR4	7852
DCAF17	80067
DCDC2	51473
DEPDC5	9681
DIS3L2	129563
DLG3	1741
DMD	1756
DMP1	1758
DNAAF2	55172
DNAAF3	352909
DNAAF4	161582
DNAAF6	139212
DNAH5	1767
DNAH8	1769
DNAI2	64446
DNAJB2	3300
DNAJC12	56521
DNAJC19	131118
DRC1	92749
DSG1	1828
DST	667
DVL1	1855
DVL3	1857
DYM	54808
EHMT1	79813
ELN	2006
ELP1	8518
EMD	2010
ENAM	10117
EPG5	57724
EPOR	2057
ESCO2	157570
EVC2	132884
EXPH5	23086
EXT1	2131
EXT2	2132
FAM126A	84668
FAM161A	84140
FAM20A	54757
FAM83H	286077
FANCC	2176
FANCF	2188
FANCG	2189
FANCM	57697
FCHO1	23149
FERMT1	55612
FERMT3	83706
FLCN	201163
FLG	2312
FMN2	56776
FRRS1L	23732
FYCO1	79443
GAS8	2622
GLI3	2737
GLMN	11146
GNS	2799
GORAB	92344
GPC3	2719
GPC4	2239
GPNMB	10457
GPSM2	29899
GRN	2896
GUCY1A1	2982
GYS1	2997
H1-4	3008
HAX1	10456
HIVEP2	3097
HPS3	84343
HPSE2	60495
HYDIN	54768
IL12B	3593
IL17RA	23765
IL1RAPL1	11141
INVS	27130
IQCB1	9657
ITGA7	3679
ITGA8	8516
ITPA	3704
KANSL1	284058
KAT6A	7994
KAT6B	23522
KATNIP	23247
KDM5B	10765
KHDC3L	154288
KIDINS220	57498
KIFBP	26128
KIZ	55857
KLHL24	54800
KMT2E	55904	from HGNC
KMT5B	51111
KPTN	11133
KRIT1	889
LAMA1	284217
LAMA2	3908
LAMA3	3909
LAMB3	3914
LAMC2	3918
LAMP2	3920
LARP7	51574
LCA5	167691
LEMD3	23592
LIFR	3977
LINS1	55180
LMAN1	3998
LMBRD1	55788
LORICRIN	4014
LPIN1	23175
LTBP4	8425
MAB21L1	4081
MAGEL2	54551
MAGT1	84061
MAMLD1	10046
MAP1B	4131
MARVELD2	153562
MBD5	55777
MESP2	145873
METTL23	124512
MFF	56947
MGP	4256
MICU1	10367
MN1	4330
MPLKIP	136647
MRAP	56246
MSH3	4437
MSH6	2956
MSL3	10943
MTMR2	8898
MYO18B	84700
NBN	4683
NDRG1	10397
NDUFA12	55967
NEB	4703
NECTIN1	5818
NEMF	9147
NEXMIF	340533
NF2	4771
NHS	4810
NPM1	4869
NPRL3	8131
NR1H4	9971
NT5C2	22978
ODAPH	152816
ODC1	4953
OTOGL	283310
OTUD6B	51633
PALB2	79728
PAPSS2	9060
PCARE	388939
PCDH12	51294
PCNT	5116
PDCD10	11235
PDHX	8050
PEX12	5193
PEX19	5824
PEX2	5828
PHF21A	51317
PHKA1	5255
PIGG	54872
PIGQ	9091
PIKFYVE	200576
PITX3	5309
PKP1	5317
PMFBP1	83449
PMS1	5378
PMS2	5395
PPM1D	8493
PPP1R21	129285
PRG4	10216
PRR12	57479
PRX	57716
PSMD12	5718
PUS7	54517
RAB28	9364
RAB3GAP1	22930
RAD50	10111
RAD51C	5889
RAD51D	5892
RAI1	10743
RASGRP1	10125
RBCK1	10616
RD3	343035
RDX	5962
RECQL	5965
RECQL4	9401
RETREG1	54463
RFXAP	5994
RIMS1	22999
RIN2	54453
ROGDI	79641
RP1	6101
RPL11	6135
RPL5	6125
RPS10	6204
RPS10-NUDT3	100529239
RPS26	6231
RSPH3	83861
RSPH4A	345895
RSPH9	221421
RTN2	6253
SAG	6295
SALL1	6299
SALL4	57167
SBF2	81846
SCARB2	950
SDCCAG8	10806
SDHAF2	54949
SEC63	11231
SERPINB7	8710
SET	6418
SETD2	29072
SETD5	55209
SFRP4	6424
SFXN4	119559
SGCE	8910
SHANK2	22941
SLC12A6	9990
SMARCC1	6599
SMPX	23676
SNAP29	9342
SNX14	57231
SON	6651
SP110	3431
SPAG1	6674
SPART	23111
SPATA7	55812
SPEG	10290
SPEN	23013
SPG11	80208
SPG21	51324
SPINK5	11005
SPRED1	161742
SRCAP	10847
SSR4	6748
STK4	6789
STRADA	92335
STX3	6809
SUFU	51684
SYNE1	23345
TAB2	23118
TANC2	26115
TBC1D23	55773
TBCK	93627
TCF12	6938
TCF20	6942
TCN2	6948
TCOF1	6949
TCTN1	79600
TCTN2	79867
TCTN3	26123
TECPR2	9895
TEX15	56154
TJP2	9414
TMCO1	54499
TMEM237	65062
TMEM260	54916
TMEM94	9772	from HGNC
TMPRSS15	5651
TNFAIP3	7128
TNRC6B	23112
TOPORS	10210
TRAPPC9	83696
TRDN	10345
TRIM28	10155
TRIM8	81603
TRIP11	9321
TRIP4	9325
TRMT1	55621
TSC1	7248
TTLL5	23093
TTN	7273
TUBGCP4	27229
TYK2	7297
UBAP1	51271
USB1	79650
VAMP1	6843
VIPAS39	63894
VPS13A	23230
VPS13B	157680
VPS13C	54832
VPS33B	26276
WAC	51322
WRN	7486
XPA	7507
XPC	7508
XRCC2	7516
YY1AP1	55249
ZEB1	6935
ZFYVE26	23503
ZNF292	23036
ZNF341	84905
