HGNC	entrez_id
AAGAB	79719
AARS	16	from AARS1
ABCA1	19
ABCA4	24
ABCA7	10347
ABCB11	8647
ABCB4	5244
ABCC2	1244
ABCC6	368
ABCC9	10060
ABCD1	215
ABCG5	64240
ABCG8	64241
ACP5	54
ACSF3	197322
ACTA2	59
ACTC1	70
ACTN2	88
ADA2	51816
ADAMTS13	11093
ADAMTSL4	54507
ADH1C	126
ADRA2B	151
AFG3L2	10939
AGBL1	123624
AGBL5	60509
AGXT	189
AIFM1	9131
AIP	9049
AIPL1	23746
AKAP10	11216
AKT1	207
ALAS2	212
ALDH18A1	5832
ALDH4A1	8659
ALMS1	7840
ALPL	249
AMH	268
AMHR2	269
AMPD1	270
AMPD3	272
ANG	283
ANK1	286
ANK2	287
ANKH	56172
ANKRD26	22852
ANLN	54443
ANO10	55129
ANO3	63982
ANO5	203859
ANO6	196527
ANXA11	311
AP1S3	130340
AP2S1	1175
AP5Z1	9907
APC	324
APOA1	335
APOA5	116519
APOE	348
APOPT1	84334
APP	351
APPL1	26060
APRT	353
APTX	54840
AR	367
ARHGEF10	9639
ARHGEF18	23370
ARL2BP	23568
ARL6	84100
ARMC5	79798
ARSA	410
ASCC1	51008
ATL1	51062
ATN1	1822
ATP13A2	23400
ATP1A2	477
ATP1A3	478
ATP2A1	487
ATP2A2	488
ATP2C1	27032
ATP6AP2	10159
ATP7A	538
ATP7B	540
ATP8B1	5205
ATXN1	6310
ATXN10	25814
ATXN2	6311
ATXN3	4287
ATXN7	6314
ATXN8OS	6315
AUH	549
B2M	567
BAG3	9531
BAP1	8314
BBS2	583
BEAN1	146227
BEST1	7439
BIN1	274
BLK	640
BLVRA	644
BMP15	9210
BMP2	650
BMPR1A	657
BMPR2	659
BRCA1	672
BRCA2	675
BSCL2	26580
BTNL2	56244
BVES	11149
TWNK	56652
C19orf12	83636
C1QBP	708
C1QTNF5	114902
MGME1	92667
C2orf71	388939	from PCARE
C3	718
C6orf70	55780	from ERMARD
C8orf37	157657
C9orf72	203228
CA4	762
CACNA1A	773
CACNA1B	774
CACNA1C	775
CACNA1G	8913
CACNA1S	779
CACNB2	783
CALCR	799
CAPN1	823
CAPN3	825
CAPN5	726
CARD14	79092
CASQ1	844
CASR	846
CAT	847
CATSPER1	117144
CAV1	857
CAV3	859
CBX2	84733
CCDC88C	440193
CCL2	6347
CCM2	83605
CCND1	595
CCR5	1234
CD209	30835
CD2AP	23607
CD36	948
CD46	4179
CD82	3732
CDC73	79577
CDH1	999
CDH23	64072
CDK4	1019
CDKN1B	1027
CDKN2A	1029
CEBPA	1050
CEP78	84131
CERKL	375298
CFB	629
CFH	3075
CFHR1	3078
CFHR3	10878
CFI	3426
