HGNC	entrez_id
RIT1	6016
FOXG1	2290
MAP2K1	5604
IDH1	3417
COL4A4	1286
SOS1	6654
NRAS	4893
COL11A2	1302
CDH1	999
ACADVL	37
SLC9A6	10479
BRAF	673
MTOR	2475
RAF1	5894
SOS2	6655
SHOC2	8036
HNF1A	6927
KCNQ4	9132
CDKL5	6792
KRAS	3845
UBE3A	7337
PIK3CA	5290
TCF4	6925
ATM	472
RYR1	6261
COL4A5	1287
PTEN	5728
FBN1	2200
MECP2	4204
GAA	2548
HRAS	3265
MYH7	4625
DICER1	23405
AKT3	10000
TP53	7157
COL4A3	1285
PTPN11	5781
LDLR	3949
RUNX1	861
PIK3R2	5296
MYOC	4653
ITGB3	3690
MAP2K2	5605
PAH	5053
GAMT	2593
ITGA2B	3674
