HGNC	entrez_id
A4GALT	53947
AAAS	8086
AAGAB	79719
AARS2	57505
AASS	10157
ABAT	18
ABCA1	19
ABCA12	26154
ABCA13	154664
ABCA2	20
ABCA3	21
ABCA4	24
ABCA7	10347
ABCB11	8647
ABCB4	5244
ABCB7	22
ABCC2	1244
ABCC6	368
ABCC8	6833
ABCC9	10060
ABCD1	215
ABCD3	5825
ABCD4	5826
ABCE1	6059
ABCG2	9429
ABCG5	64240
ABCG8	64241
ABHD12	26090
ABHD14A-ACY1	100526760
ABHD16A	7920
ABHD5	51099
ABL1	25
ACACA	31
ACAD8	27034
ACAD9	28976
ACADM	34
ACADS	35
ACADSB	36
ACADVL	37
ACAN	176
ACAT1	38
ACBD5	91452
ACBD6	84320
ACD	65057
ACE	1636
ACER3	55331
ACIN1	22985
ACO2	50
ACOX1	51
ACP5	54
ACSF3	197322
ACSL4	2182
ACTA1	58
ACTA2	59
ACTC1	70
ACTG2	72
ACTL6A	86
ACTL6B	51412
ACTN2	88
ACTR2	10097
ACVR1B	91
ACVR2A	92
ACVRL1	94
ACY1	95
ADA	100
ADA2	51816
ADAM10	102
ADAM17	6868
ADAM22	53616
ADAM9	8754
ADAMTS10	81794
ADAMTS13	11093
ADAMTS17	170691
ADAMTS18	170692
ADAMTS2	9509
ADAMTS6	11174
ADAMTSL2	9719
ADAMTSL4	54507
ADAR	103
ADCY10	55811
ADCY2	108
ADCY3	109
ADCY5	111
ADGRG1	9289
ADGRG2	10149
ADGRG6	57211
ADGRV1	84059
ADH5	128
ADIPOQ	9370
ADK	132
ADNP	23394
ADPRS	54936
ADRBK1	156
ADSL	158
ADSS1	122622
AEBP1	165
AFF2	2334
AFG3L2	10939
AFP	174
AGA	175
AGBL5	60509
AGK	55750
AGL	178
AGO1	26523
AGO2	27161
AGPAT2	10555
AGPS	8540
AGRN	375790
AGT	183
AGTPBP1	23287
AGTR1	185
AGXT	189
AHCYL1	10768
AHDC1	27245
AHI1	54806
AHR	196
AICDA	57379
AIFM1	9131
AIMP1	9255
AIMP2	7965
AIP	9049
AIPL1	23746
AIRE	326
AK1	203
AK2	204
AKAP6	9472
AKAP9	10142
AKR1D1	6718
AKT3	10000
ALAD	210
ALAS2	212
ALB	213
ALDH18A1	5832
ALDH1A3	220
ALDH3A2	224
ALDH4A1	8659
ALDH5A1	7915
ALDH6A1	4329
ALDH7A1	501
ALDOB	229
ALG1	56052
ALG11	440138
ALG12	79087
ALG2	85365
ALG3	10195
ALG6	29929
ALG8	79053
ALG9	79796
ALKBH8	91801
ALMS1	7840
ALOX12B	242
ALOXE3	59344
ALPK3	57538
ALPL	249
ALS2	57679
ALX1	8092
ALX3	257
ALX4	60529
AMBN	258
AMBRA1	55626
AMD1	262
AMELX	265
AMER1	139285
AMH	268
AMHR2	269
AMMECR1	9949
AMN	81693
AMPD1	270
AMPD2	271
AMT	275
ANAPC1	64682
ANG	283
ANGPT1	284
ANGPTL3	27329
ANGPTL4	51129
ANK1	286
ANK2	287
ANK3	288
ANKHD1-EIF4EBP3	404734
ANKLE2	23141
ANKRD1	27063
ANKRD11	29123
ANKRD17	26057
ANKS1B	56899
ANKS6	203286
ANO10	55129
ANO5	203859
ANO6	196527
ANOS1	3730
ANTXR1	84168
ANTXR2	118429
AP1B1	162
AP1G1	164
AP1S1	1174
AP1S2	8905
AP2B1	163
AP2M1	1173
AP3B1	8546
AP3B2	8120
AP4B1	10717
AP4E1	23431
AP4M1	9179
AP4S1	11154
AP5Z1	9907
APBB1	322
APC	324
APC2	10297
API5	8539
APOA1	335
APOA5	116519
APOB	338
APOC2	344
APOC3	345
APOE	348
APOL1	8542
APPBP2	10513
APRT	353
APTX	54840
AQP2	359
AR	367
ARCN1	372
ARF4	378
ARFGEF1	10565
ARFGEF2	10564
ARG1	383
ARHGAP26	23092
ARHGAP29	9411
ARHGAP5	394
ARHGEF1	9138
ARHGEF10	9639
ARHGEF18	23370
ARHGEF9	23229
ARID1A	8289
ARID1B	57492
ARID2	196528
ARID5B	84159
ARL13B	200894
ARL2BP	23568
ARL6	84100
ARL6IP1	23204
ARMC2	84071
ARMC5	79798
ARMC9	80210
ARNT	405
ARNT2	9915
ARPC1B	10095
ARPC2	10109
ARSA	410
ARSB	411
ARSG	22901
ARSL	415
ARV1	64801
ARX	170302
ASAH1	427
ASCC1	51008
ASH1L	55870
ASIC2	40
ASL	435
ASMT	438
ASNS	440
ASPA	443
ASPH	444
ASPM	259266
ASS1	445
ASTN1	460
ASTN2	23245
ASXL1	171023
ASXL3	80816
ATAD1	84896
ATAD3A	55210
ATF2	1386
ATF6	22926
ATG5	9474
ATG7	10533
ATG9A	79065
ATIC	471
ATL1	51062
ATM	472
ATN1	1822
ATOH7	220202
ATP13A2	23400
ATP13A3	79572
ATP1A2	477
ATP1A3	478
ATP2A1	487
ATP2A2	488
ATP2B1	490
ATP2B2	491
ATP2C1	27032
ATP5F1A	498
ATP5F1B	506
ATP6V0A2	23545
ATP6V0A4	50617
ATP6V1B1	525
ATP6V1B2	526
ATP7A	538
ATP7B	540
ATP8A2	51761
ATP8B1	5205
ATP9A	10079
ATR	545
ATRIP	84126
ATRNL1	26033
ATRX	546
ATXN1	6310
AUH	549
AURKC	6795
AUTS2	26053
AVP	551
AVPR2	554
AXIN2	8313
AZIN1	51582
B2M	567
B3GALNT1	8706
B3GALNT2	148789
B3GALT6	126792
B3GAT3	26229
B3GLCT	145173
B4GALNT1	2583
B4GALT1	2683
B4GALT7	11285
B4GAT1	11041
B9D1	27077
B9D2	80776
BAAT	570
BACH2	60468
BAG3	9531
BAI3	577
BAP1	8314
BARD1	580
BAX	581
BAZ2B	29994
BBIP1	92482
BBS1	582
BBS10	79738
BBS12	166379
BBS2	583
BBS4	585
BBS5	129880
BBS7	55212
BBS9	27241
BCAP31	10134
BCAS3	54828
BCHE	590
BCKDHA	593
BCKDHB	594
BCKDK	10295
BCL10	8915
BCL11A	53335
BCL11B	64919
BCL2L1	598
BCL6	604
BCOR	54880
BCR	613
BCS1L	617
BECN1	8678
BEST1	7439
BFSP1	631
BFSP2	8419
BGN	633
BICC1	80114
BICRA	29998
BIN1	274
BIVM-ERCC5	100533467
BLM	641
BLNK	29760
BLOC1S3	388552
BLOC1S6	26258
BLVRA	644
BMP1	649
BMP15	9210
BMP2	650
BMP4	652
BMP7	655
BMPER	168667
BMPR1A	657
BMPR1B	658
BMPR2	659
BNC2	54796
BOD1	91272
BOLA3	388962
BPNT2	54928
BPTF	2186
BRAT1	221927
BRCA1	672
BRCA2	675
BRD2	6046
BRD4	23476
BRF1	2972
BRIP1	83990
BRPF1	7862
BRSK2	9024
BRWD3	254065
BSCL2	26580
BSND	7809
BTAF1	9044
BTD	686
BTG4	54766
BTK	695
BUB1	699
BUB1B	701
BVES	11149
BZW1	9689
C11orf30	56946
C12orf4	57102
C12orf57	113246
C14orf39	317761
C19orf12	83636
C1GALT1C1	29071
C1QA	712
